,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-03-02 15:30:16,2023-02-27 15:57:02,353,25.0,1904,360,182,10.0,31.0,12849,2023-02-27 15:57:12,2023.02.23,86.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-03-02 13:50:58,2023-02-24 19:47:22,222,22.0,196,83,128,2.0,4.0,2848,2023-02-24 19:47:39,2023.02.23,80.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-03-02 16:38:09,2023-02-27 15:57:40,207,23.0,138,51,129,,2.0,1819,2023-02-27 15:57:53,2023.02.23,78.0,A ranked list of awesome python libraries for web development. Updated weekly.,10,16,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-03-02 14:39:41,2023-02-27 15:56:30,204,22.0,35,21,126,1.0,5.0,680,2023-02-27 15:56:37,2023.02.23,77.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5,16,True,1,1.0
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-03-02 14:44:27,2023-02-27 15:56:51,204,20.0,56,21,128,,2.0,605,2023-02-27 15:56:57,2023.02.23,83.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10,15,True,2,1.0
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-03-02 15:40:27,2023-02-27 15:57:17,241,22.0,33,8,117,1.0,,398,2023-02-27 15:57:33,2023.02.23,79.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5,15,True,3,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-03-02 11:02:01,2023-03-02 11:02:01,156,38.0,19,10,72,3.0,,97,2023-03-02 10:56:27,2023.03.01,53.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,13,True,1,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-02-27 12:05:57,2021-05-03 18:03:14,111,,77,12,74,7.0,4.0,572,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
8,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-03-01 20:18:09,2023-02-27 20:19:19,319,86.0,3,3,415,,,22,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,2.0
9,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-03-02 18:04:56,2023-02-24 10:38:52,143,12.0,6,5,64,1.0,2.0,147,2023-02-24 10:39:00,2023.02.23,49.0,A ranked list of awesome MkDocs projects and plugins.,4,11,True,1,
10,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-03-01 18:28:22,2023-03-01 18:28:21,404,98.0,11,3,21,,2.0,126,,,,Ranked list of awesome digital gardens / second brains.,13,11,True,1,2.0
11,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-03-01 09:30:38,2023-03-01 09:30:38,138,7.0,2,7,101,,,126,2023-03-01 09:31:46,2023.03.01,24.0,A ranked list of awesome machine learning Rust libraries.,2,9,True,3,2.0
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1,2,38,,,9,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,5,False,3,
